nCoV-2019_1_LEFT_1	1	1	1	2.5	0.91					
nCoV-2019_1_RIGHT_1	1	1	1	2.5	0.91					
nCoV-2019_2_LEFT_0	2	2	0	1.0	0.30					
nCoV-2019_2_RIGHT_0	2	2	0	1.0	0.30					
nCoV-2019_3_LEFT_1	1	3	1	3.0	1.09					
nCoV-2019_3_RIGHT_0	1	3	0	3.0	1.09					
nCoV-2019_4_LEFT_0	2	4	0	3.5	1.04					
nCoV-2019_4_RIGHT_0	2	4	0	3.5	1.04					
nCoV-2019_5_LEFT_0	1	5	0	1.0	0.36					
nCoV-2019_5_RIGHT_0	1	5	0	1.0	0.36					
nCoV-2019_6_LEFT_1	2	6	1	6.0	1.79					
nCoV-2019_6_RIGHT_1	2	6	1	6.0	1.79					
nCoV-2019_7_LEFT_2	1	7	2	2.5	0.91					
nCoV-2019_7_RIGHT_2	1	7	2	2.5	0.91					
nCoV-2019_8_LEFT_0	2	8	0	1.5	0.45					
nCoV-2019_8_RIGHT_0	2	8	0	1.5	0.45					
nCoV-2019_9_LEFT_0	1	9	0	3.5	1.27					
nCoV-2019_9_RIGHT_0	1	9	0	3.5	1.27					
nCoV-2019_10_LEFT_0	2	10	0	1.0	0.30					
nCoV-2019_10_RIGHT_0	2	10	0	1.0	0.30					
nCoV-2019_11_LEFT_0	1	11	0	2.5	0.91					
nCoV-2019_11_RIGHT_0	1	11	0	2.5	0.91					
nCoV-2019_12_LEFT_0	2	12	0	4.0	1.19					
nCoV-2019_12_RIGHT_0	2	12	0	4.0	1.19					
nCoV-2019_13_LEFT_0	1	13	0	3.0	1.09					
nCoV-2019_13_RIGHT_0	1	13	0	3.0	1.09					
nCoV-2019_14_LEFT_0	2	14	0	8.5	2.53					
nCoV-2019_14_RIGHT_0	2	14	0	8.5	2.53					
nCoV-2019_15_LEFT_0	1	15	0	3.0	1.09					
nCoV-2019_15_RIGHT_0	1	15	0	3.0	1.09					
nCoV-2019_16_LEFT_0	2	16	0	7.0	2.08					
nCoV-2019_16_RIGHT_0	2	16	0	7.0	2.08					
nCoV-2019_17_LEFT_0	1	17	0	1.5	0.55					
nCoV-2019_17_RIGHT_0	1	17	0	1.5	0.55					
nCoV-2019_18_LEFT_0	2	18	0	3.0	0.89					
nCoV-2019_18_RIGHT_0	2	18	0	3.0	0.89					
nCoV-2019_19_LEFT_0	1	19	0	3.0	1.09					
nCoV-2019_19_RIGHT_0	1	19	0	3.0	1.09					
nCoV-2019_20_LEFT_0	2	20	0	5.0	1.49					
nCoV-2019_20_RIGHT_0	2	20	0	5.0	1.49					
nCoV-2019_21_LEFT_0	1	21	0	3.5	1.27					
nCoV-2019_21_RIGHT_0	1	21	0	3.5	1.27					
nCoV-2019_22_LEFT_0	2	22	0	2.0	0.60					
nCoV-2019_22_RIGHT_0	2	22	0	2.0	0.60					
nCoV-2019_23_LEFT_0	1	23	0	7.0	2.55					
nCoV-2019_23_RIGHT_0	1	23	0	7.0	2.55					
nCoV-2019_24_LEFT_0	2	24	0	4.0	1.19					
nCoV-2019_24_RIGHT_0	2	24	0	4.0	1.19					
nCoV-2019_25_LEFT_0	1	25	0	2.0	0.73					
nCoV-2019_25_RIGHT_0	1	25	0	2.0	0.73					
nCoV-2019_26_LEFT_0	2	26	0	10.5	3.12					
nCoV-2019_26_RIGHT_0	2	26	0	10.5	3.12					
nCoV-2019_27_LEFT_0	1	27	0	5.0	1.80					
nCoV-2019_27_RIGHT_0	1	27	0	5.0	1.80					
nCoV-2019_28_LEFT_0	2	28	0	2.5	0.74					
nCoV-2019_28_RIGHT_0	2	28	0	2.5	0.74					
nCoV-2019_29_LEFT_0	1	29	0	1.5	0.55					
nCoV-2019_29_RIGHT_0	1	29	0	1.5	0.55					
nCoV-2019_30_LEFT_0	2	30	0	2.0	0.60					
nCoV-2019_30_RIGHT_0	2	30	0	2.0	0.60					
nCoV-2019_31_LEFT_1	1	31	1	3.0	1.09					
nCoV-2019_31_RIGHT_0	1	31	0	3.0	1.09					
nCoV-2019_32_LEFT_0	2	32	0	5.0	1.49					
nCoV-2019_32_RIGHT_0	2	32	0	5.0	1.49					
nCoV-2019_33_LEFT_0	1	33	0	1.5	0.55					
nCoV-2019_33_RIGHT_0	1	33	0	1.5	0.55					
nCoV-2019_34_LEFT_0	2	34	0	6.0	1.79					
nCoV-2019_34_RIGHT_0	2	34	0	6.0	1.79					
nCoV-2019_35_LEFT_0	1	35	0	4.5	1.64					
nCoV-2019_35_RIGHT_0	1	35	0	4.5	1.64					
nCoV-2019_36_LEFT_0	2	36	0	4.5	1.34					
nCoV-2019_36_RIGHT_0	2	36	0	4.5	1.34					
nCoV-2019_37_LEFT_0	1	37	0	2.0	0.73					
nCoV-2019_37_RIGHT_0	1	37	0	2.0	0.73					
nCoV-2019_38_LEFT_0	2	38	0	1.5	0.45					
nCoV-2019_38_RIGHT_0	2	38	0	1.5	0.45					
nCoV-2019_39_LEFT_0	1	39	0	4.0	1.46					
nCoV-2019_39_RIGHT_0	1	39	0	4.0	1.46					
nCoV-2019_40_LEFT_0	2	40	0	4.5	1.34					
nCoV-2019_40_RIGHT_0	2	40	0	4.5	1.34					
nCoV-2019_41_LEFT_0	1	41	0	1.0	0.36					
nCoV-2019_41_RIGHT_0	1	41	0	1.0	0.36					
nCoV-2019_42_LEFT_0	2	42	0	1.5	0.45					
nCoV-2019_42_RIGHT_0	2	42	0	1.5	0.45					
nCoV-2019_43_LEFT_0	1	43	0	3.5	1.27					
nCoV-2019_43_RIGHT_0	1	43	0	3.5	1.27					
nCoV-2019_44_LEFT_0	2	44	0	2.5	0.74					
nCoV-2019_44_RIGHT_0	2	44	0	2.5	0.74					
nCoV-2019_45_LEFT_0	1	45	0	3.0	1.09					
nCoV-2019_45_RIGHT_0	1	45	0	3.0	1.09					
nCoV-2019_46_LEFT_0	2	46	0	3.0	0.89					
nCoV-2019_46_RIGHT_0	2	46	0	3.0	0.89					
nCoV-2019_47_LEFT_0	1	47	0	1.5	0.53					
nCoV-2019_47_RIGHT_0	1	47	0	1.5	0.53					
nCoV-2019_48_LEFT_0	2	48	0	2.5	0.74					
nCoV-2019_48_RIGHT_0	2	48	0	2.5	0.74					
nCoV-2019_49_LEFT_0	1	49	0	2.0	0.73					
nCoV-2019_49_RIGHT_0	1	49	0	2.0	0.73					
nCoV-2019_50_LEFT_0	2	50	0	2.5	0.74					
nCoV-2019_50_RIGHT_0	2	50	0	2.5	0.74					
nCoV-2019_51_LEFT_0	1	51	0	2.0	0.73					
nCoV-2019_51_RIGHT_0	1	51	0	2.0	0.73					
nCoV-2019_52_LEFT_2	2	52	2	2.5	0.74					
nCoV-2019_52_RIGHT_2	2	52	2	2.5	0.74					
nCoV-2019_53_LEFT_0	1	53	0	1.0	0.36					
nCoV-2019_53_RIGHT_0	1	53	0	1.0	0.36					
nCoV-2019_54_LEFT_1	2	54	1	4.0	1.19					
nCoV-2019_54_RIGHT_1	2	54	1	4.0	1.19					
nCoV-2019_55_LEFT_1	1	55	1	2.0	0.73					
nCoV-2019_55_RIGHT_1	1	55	1	2.0	0.73					
nCoV-2019_56_LEFT_0	2	56	0	2.5	0.74					
nCoV-2019_56_RIGHT_0	2	56	0	2.5	0.74					
nCoV-2019_57_LEFT_0	1	57	0	3.5	1.27					
nCoV-2019_57_RIGHT_0	1	57	0	3.5	1.27					
nCoV-2019_58_LEFT_0	2	58	0	2.0	0.60					
nCoV-2019_58_RIGHT_0	2	58	0	2.0	0.60					
nCoV-2019_59_LEFT_0	1	59	0	1.5	0.55					
nCoV-2019_59_RIGHT_0	1	59	0	1.5	0.55					
nCoV-2019_60_LEFT_0	2	60	0	2.5	0.74					
nCoV-2019_60_RIGHT_0	2	60	0	2.5	0.74					
nCoV-2019_61_LEFT_0	1	61	0	4.0	1.46					
nCoV-2019_61_RIGHT_0	1	61	0	4.0	1.46					
nCoV-2019_62_LEFT_2	2	62	2	2.5	0.74					
nCoV-2019_62_RIGHT_0	2	62	0	2.5	0.74					
nCoV-2019_63_LEFT_0	1	63	0	2.5	0.91					
nCoV-2019_63_RIGHT_0	1	63	0	2.5	0.91					
nCoV-2019_64_LEFT_0	2	64	0	4.0	1.19					
nCoV-2019_64_RIGHT_0	2	64	0	4.0	1.19					
nCoV-2019_65_LEFT_0	1	65	0	4.0	1.46					
nCoV-2019_65_RIGHT_0	1	65	0	4.0	1.46					
nCoV-2019_66_LEFT_0	2	66	0	2.0	0.60					
nCoV-2019_66_RIGHT_0	2	66	0	2.0	0.60					
nCoV-2019_67_LEFT_1	1	67	1	4.0	1.46					
nCoV-2019_67_RIGHT_1	1	67	1	4.0	1.46					
nCoV-2019_68_LEFT_0	2	68	0	6.0	1.79					
nCoV-2019_68_RIGHT_0	2	68	0	6.0	1.79					
nCoV-2019_69_LEFT_0	1	69	0	3.5	1.27					
nCoV-2019_69_RIGHT_0	1	69	0	3.5	1.27					
nCoV-2019_70_LEFT_0	2	70	0	3.0	0.89					
nCoV-2019_70_RIGHT_0	2	70	0	3.0	0.89					
nCoV-2019_71_LEFT_0	1	71	0	4.5	1.64					
nCoV-2019_71_RIGHT_0	1	71	0	4.5	1.64					
nCoV-2019_72_LEFT_0	2	72	0	4.0	1.19					
nCoV-2019_72_RIGHT_0	2	72	0	4.0	1.19					
nCoV-2019_73_LEFT_0	1	73	0	4.5	1.64					
nCoV-2019_73_RIGHT_0	1	73	0	4.5	1.64					
nCoV-2019_74_LEFT_0	2	74	0	3.0	0.89					
nCoV-2019_74_RIGHT_0	2	74	0	3.0	0.89					
nCoV-2019_75_LEFT_1	1	75	1	3.5	1.27					
nCoV-2019_75_RIGHT_1	1	75	1	3.5	1.27					
nCoV-2019_76_LEFT_0	2	76	0	2.5	0.74					
nCoV-2019_76_RIGHT_0	2	76	0	2.5	0.74					
nCoV-2019_77_LEFT_0	1	77	0	2.0	0.73					
nCoV-2019_77_RIGHT_0	1	77	0	2.0	0.73					
nCoV-2019_78_LEFT_0	2	78	0	4.0	1.19					
nCoV-2019_78_RIGHT_0	2	78	0	4.0	1.19					
nCoV-2019_79_LEFT_0	1	79	0	1.0	0.36					
nCoV-2019_79_RIGHT_0	1	79	0	1.0	0.36					
nCoV-2019_80_LEFT_0	2	80	0	2.0	0.61					
nCoV-2019_80_RIGHT_0	2	80	0	2.0	0.61					
nCoV-2019_81_LEFT_0	1	81	0	3.0	1.09					
nCoV-2019_81_RIGHT_0	1	81	0	3.0	1.09					
nCoV-2019_82_LEFT_0	2	82	0	2.0	0.60					
nCoV-2019_82_RIGHT_0	2	82	0	2.0	0.60					
nCoV-2019_83_LEFT_0	1	83	0	6.0	2.18					
nCoV-2019_83_RIGHT_0	1	83	0	6.0	2.18					
nCoV-2019_84_LEFT_2	2	84	2	4.5	1.34					
nCoV-2019_84_RIGHT_2	2	84	2	4.5	1.34					
nCoV-2019_85_LEFT_0	1	85	0	2.0	0.73					
nCoV-2019_85_RIGHT_0	1	85	0	2.0	0.73					
nCoV-2019_86_LEFT_0	2	86	0	2.5	0.74					
nCoV-2019_86_RIGHT_0	2	86	0	2.5	0.74					
nCoV-2019_87_LEFT_1	1	87	1	2.5	0.91					
nCoV-2019_87_RIGHT_1	1	87	1	2.5	0.91					
nCoV-2019_88_LEFT_2	2	88	2	3.5	1.04					
nCoV-2019_88_RIGHT_2	2	88	2	3.5	1.04					
nCoV-2019_89_LEFT_2	1	89	2	2.5	0.91					
nCoV-2019_89_RIGHT_0	1	89	0	2.5	0.91					
nCoV-2019_90_LEFT_0	2	90	0	3.5	1.04					
nCoV-2019_90_RIGHT_0	2	90	0	3.5	1.04					
nCoV-2019_91_LEFT_0	1	91	0	2.0	0.73					
nCoV-2019_91_RIGHT_0	1	91	0	2.0	0.73					
nCoV-2019_92_LEFT_0	2	92	0	3.0	0.89					
nCoV-2019_92_RIGHT_0	2	92	0	3.0	0.89					
nCoV-2019_93_LEFT_0	1	93	0	3.0	1.09					
nCoV-2019_93_RIGHT_0	1	93	0	3.0	1.09					
nCoV-2019_94_LEFT_0	2	94	0	2.5	0.74					
nCoV-2019_94_RIGHT_0	2	94	0	2.5	0.74					
nCoV-2019_95_LEFT_0	1	95	0	2.5	0.91					
nCoV-2019_95_RIGHT_0	1	95	0	2.5	0.91					
nCoV-2019_96_LEFT_1	2	96	1	5.0	1.49					
nCoV-2019_96_RIGHT_0	2	96	0	5.0	1.49					